Name,Age,Nationality,Fifa Score,Club,Value,Salary,Continent
Borja Fernández,36,Spain,70,Real Valladolid,€240K,€5K,EU'
K. Wilczek,29,Poland,70,Brøndby IF,€1.8M,€16K,EU'
F. Bellocq,23,Argentina,70,Bahía Blanca,€2.1M,€12K,SA'
Luisinho Conradi,29,Brazil,70,Grêmio Foot-Ball Porto Alegrense,€1.3M,€16K,SA'
J. Angulo,27,Ecuador,70,Club Atlético Huracán,€1.9M,€10K,SA'
K. Kraus,24,Germany,70,1. FC Heidenheim,€2M,€11K,EU'
J. Ba Jandouh,24,Saudi Arabia,70,Al Ittihad,€1.8M,€20K,AS'
M. Escudero,28,Argentina,70,San Martín de San Juan,€1.6M,€8K,SA'
R. Bengtsson,31,Sweden,70,Malmö FF,€1.2M,€5K,EU'
L. Del Prete,31,Italy,70,Perugia,€1.2M,€4K,EU'
P. Bamford,23,England,70,Middlesbrough,€2.5M,€13K,
B. Ndoye,23,Senegal,70,FC Sion,€2.4M,€11K,AF'
J. De Sart,22,Belgium,70,SV Zulte-Waregem,€2.1M,€10K,EU'
D. Belorukov,34,Russia,70,Amkar Perm,€550K,€21K,
K. Adenon,31,Benin,70,Amiens SC Football,€1.2M,€13K,AF'
André Micael,28,Portugal,70,Moreirense FC,€1.4M,€5K,EU'
J. Rassoul,21,Senegal,70,Sporting Lokeren,€2.3M,€8K,AF'
M. Faraoni,25,Italy,70,Crotone,€1.8M,€9K,EU'
A. Ngando,23,France,70,Göztepe,€2.5M,€12K,EU'
David Barral,34,Spain,70,Cádiz C.F.,€925K,€7K,EU'
L. Jutkiewicz,28,England,70,Birmingham City,€1.8M,€23K,
Li Xuepeng,28,China PR,70,,€0,€0.00,
G. Molins,28,Sweden,70,Panathinaikos FC,€1.8M,€1K,EU'
J. Baiva,25,Chile,70,Club de Deportes Temuco,€1.5M,€3K,SA'
T. De Sutter,31,Belgium,70,Sporting Lokeren,€1.6M,€12K,EU'
M. Abdellaoue,31,Norway,70,Vålerenga Fotball,€1.6M,€5K,EU'
Kim Do Hyeok,25,Korea Republic,70,Incheon United FC,€2.3M,€5K,
T. Werner,31,Germany,70,1. FC Nürnberg,€1.6M,€17K,EU'
D. Davis,26,England,70,Birmingham City,€2.1M,€21K,
S. Bryzgalov,24,Russia,70,FC Anzhi Makhachkala,€2M,€13K,
Dani Giménez,33,Spain,70,Real Betis Balompié,€900K,€12K,EU'
Aleix García,20,Spain,70,Girona CF,€3.1M,€51K,EU'
Platiny,26,Brazil,70,Grupo Desportivo de Chaves,€2.2M,€7K,SA'
F. Valverde,18,Uruguay,70,RC Deportivo de La Coruña,€3.6M,€44K,SA'
Kadu,30,Brazil,70,Göztepe,€1.3M,€12K,SA'
D. Petrić,29,Serbia,70,En Avant de Guingamp,€1.2M,€13K,EU'
R. Krhin,27,Slovenia,70,FC Nantes,€1.7M,€7K,EU'
Y. Croizet,25,France,70,KV Mechelen,€2.2M,€11K,EU'
T. Clarke,29,England,70,Preston North End,€1.4M,€11K,
S. Whittaker,33,Scotland,70,Hibernian,€675K,€6K,
Paulo Miranda,28,Brazil,70,FC Red Bull Salzburg,€1.6M,€21K,SA'
O. Vaněk,26,Czech Republic,70,FC Ufa,€1.9M,€19K,EU'
A. Rocha,24,Mexico,70,Monarcas Morelia,€2.4M,€8K,NA'
M. Ingvartsen,21,Denmark,70,KRC Genk,€2.6M,€10K,EU'
N. Moiraghi,32,Argentina,70,Asociacion Deportivo Cali,€1M,€3K,SA'
A. Tashaev,23,Russia,70,Dinamo Moscow,€2.4M,€20K,
R. Bezus,26,Ukraine,70,Sint-Truidense VV,€2.1M,€10K,EU'
M. Molina,37,Colombia,70,Independiente Medellín,€600K,€3K,SA'
B. Assou-Ekotto,33,Cameroon,70,FC Metz,€675K,€10K,AF'
I. Firer,32,Slovenia,70,AJ Auxerre,€1.4M,€7K,EU'
K. Stöger,23,Austria,70,VfL Bochum,€2.4M,€12K,EU'
Rui Silva,23,Portugal,70,Granada CF,€1.8M,€5K,EU'
R. Gosens,22,Germany,70,Atalanta,€2M,€15K,EU'
M. Degenek,23,Australia,70,Yokohama F. Marinos,€2.1M,€6K,OC'
F. Nita,29,Romania,70,,€0,€0.00,EU'
A. Pilkington,29,Republic of Ireland,70,Cardiff City,€1.8M,€23K,
M. Budziński,26,Poland,70,Melbourne City,€2.1M,€10K,EU'
K. Peterson,22,Sweden,70,Heracles Almelo,€2.4M,€8K,EU'
R. Tramos,29,Chile,70,Curicó Unido,€1.7M,€4K,SA'
Hugo Vieira,28,Portugal,70,Yokohama F. Marinos,€1.8M,€9K,EU'
S. Parshivlyuk,28,Russia,70,FC Rostov,€1.4M,€22K,
D. Yılmaz,29,Azerbaijan,70,Bursaspor,€1.8M,€15K,AS'
C. Arboleda,31,Colombia,70,Independiente Santa Fe,€1.6M,€4K,SA'
Andrei Girotto,25,Brazil,70,FC Nantes,€1.9M,€14K,SA'
H. Campagnaro,37,Argentina,70,Pescara,€240K,€3K,SA'
W. Kvist,32,Denmark,70,FC København,€1.3M,€15K,EU'
T. Cahill,37,Australia,70,Melbourne City,€600K,€7K,OC'
S. Hernández,30,Colombia,70,CPD Junior Barranquilla,€1.7M,€4K,SA'
E. Pérez,28,Mexico,70,Monarcas Morelia,€1.4M,€15K,NA'
Kwon Chang Hoon,23,Korea Republic,70,Dijon FCO,€2.4M,€12K,
Nacho,28,Spain,70,Real Valladolid,€1.4M,€7K,EU'
D. Álvarez,38,Mexico,70,Tigres U.A.N.L.,€600K,€29K,NA'
C. Nieldo,25,Chile,70,CD O'Higgins,€1.6M,€5K,SA'
J. Brekalo,19,Croatia,70,VfB Stuttgart,€3.1M,€21K,EU'
J. Rojas,28,Ecuador,70,Talleres de Cordoba,€1.8M,€23K,SA'
G. Sagal,33,Chile,70,Audax Italiano,€725K,€4K,SA'
A. Saltininio,33,Chile,70,Audax Italiano,€1.1M,€5K,SA'
W. Johnson,30,Canada,70,Orlando City Soccer Club,€1.6M,€7K,NA'
D. Drexler,27,Germany,70,Holstein Kiel,€1.9M,€10K,EU'
G. Hall,25,England,70,Queens Park Rangers,€1.8M,€18K,
Matheus Pereira,19,Brazil,70,Girondins de Bordeaux,€3.8M,€32K,SA'
D. Bakar,28,Comoros,70,Tours FC,€1.8M,€6K,AF'
J. Grahl,28,Germany,70,VfB Stuttgart,€1.4M,€14K,EU'
S. Schipplock,28,Germany,70,Hamburger SV,€1.8M,€26K,EU'
Daguinho Parrela,33,Brazil,70,Sociedade Esportiva Palmeiras,€675K,€21K,SA'
A. Tinnerholm,26,Sweden,70,Malmö FF,€1.7M,€5K,EU'
J. Drost,24,Netherlands,70,FC Groningen,€2.3M,€8K,EU'
B. van Polen,31,Netherlands,70,PEC Zwolle,€1.2M,€8K,EU'
L. Rodríguez,20,Argentina,70,Estudiantes de La Plata,€3.1M,€10K,SA'
A. Mantovani,33,Italy,70,Novara,€725K,€4K,EU'
M. Saymak,24,Netherlands,70,PEC Zwolle,€2.3M,€7K,EU'
F. Ballas,24,Germany,70,SG Dynamo Dresden,€2M,€9K,EU'
J. Murphy,27,Scotland,70,Brighton & Hove Albion,€1.9M,€31K,
S. Winnall,26,England,70,Derby County,€2.2M,€40K,
L. Phiri,22,South Africa,70,En Avant de Guingamp,€2.5M,€13K,AF'
Sérgio Espinho,33,Brazil,70,Grêmio Foot-Ball Porto Alegrense,€675K,€15K,SA'
R. Dugalić,24,Serbia,70,FC Tosno,€2M,€13K,EU'
I. Conté,26,Guinea,70,KV Oostende,€2.1M,€12K,AF'
L. Garritano,23,Italy,70,Chievo Verona,€2.6M,€12K,EU'
Fabián,21,Spain,70,Real Betis Balompié,€2.3M,€11K,EU'
M. Schönbächler,27,Switzerland,70,FC Zürich,€1.9M,€12K,EU'
N. Giannetti,26,Italy,70,Cagliari,€2.2M,€35K,EU'
D. Kumbela,33,DR Congo,70,Eintracht Braunschweig,€1.1M,€19K,
J. Cristaldo,28,Argentina,70,Vélez Sarsfield,€1.8M,€23K,SA'
Pablo Pérez,23,Spain,70,Real Sporting de Gijón,€2.4M,€8K,EU'
Bernardo Motinho,25,Brazil,70,São Paulo Futebol Clube,€1.5M,€17K,SA'
V. Kostevych,24,Ukraine,70,Lech Poznań,€2M,€6K,EU'
Nacho Vidal,22,Spain,70,Valencia CF,€2M,€16K,EU'
S. Ishizaki,35,Sweden,70,AIK Solna,€750K,€6K,EU'
B. van Hintum,30,Netherlands,70,Heracles Almelo,€1.3M,€8K,EU'
Y. Musavu-King,25,Gabon,70,FC St. Gallen,€1.9M,€16K,AF'
L. Melano,24,Argentina,70,Estudiantes de La Plata,€2.4M,€6K,SA'
M. Haïdara,24,France,70,Newcastle United,€2M,€32K,EU'
P. Olayinka,21,Nigeria,70,SV Zulte-Waregem,€2.7M,€13K,AF'
S. Rosales,22,Argentina,70,Racing Club de Avellaneda,€2.9M,€12K,SA'
B. Angulo,27,Colombia,70,Puebla,€1.5M,€6K,SA'
V. Dyakov,28,Russia,70,Medicana Sivasspor,€1.4M,€11K,
C. Giménez,36,Mexico,70,Cruz Azul,€600K,€15K,NA'
A. Bernardini,30,Italy,70,Salernitana,€1.3M,€4K,EU'
Yu Sang Hun,28,Korea Republic,70,Sangju Sangmu FC,€1.2M,€5K,
J. Walker,24,Scotland,70,Heart of Midlothian,€2.1M,€6K,
S. Domínguez,36,Argentina,70,Newell's Old Boys,€240K,€8K,SA'
A. Sørloth,21,Norway,70,FC Midtjylland,€2.5M,€17K,EU'
A. Lukse,29,Austria,70,SCR Altach,€1.2M,€10K,EU'
K. Larsen,24,Denmark,70,FC Groningen,€2M,€7K,EU'
F. Semb Berge,27,Norway,70,Odds BK,€1.8M,€4K,EU'
Rodri,27,Spain,70,C.D. Leonesa S.A.D.,€2.1M,€7K,EU'
A. Głowacki,38,Poland,70,Wisła Kraków,€240K,€4K,EU'
J. Zárate,25,Mexico,70,Monarcas Morelia,€2.2M,€8K,NA'
S. Kittel,24,Germany,70,FC Ingolstadt 04,€2.4M,€14K,EU'
N. Barella,20,Italy,70,Cagliari,€3.9M,€26K,EU'
L. Camp,32,Northern Ireland,70,Cardiff City,€1M,€15K,
A. Matthews,25,Wales,70,Sunderland,€1.9M,€7K,
F. Arizala,31,Colombia,70,Atlético Bucaramanga,€1.6M,€2K,SA'
R. Filippi,28,France,70,Tours FC,€1.6M,€6K,EU'
A. Traustason,24,Iceland,70,AEK Athens,€2.3M,€1K,EU'
G. Cosaro,27,Argentina,70,Club Atlético Tigre,€1.5M,€9K,SA'
Óscar Pinchi,21,Spain,70,RC Deportivo de La Coruña,€2.8M,€14K,EU'
K. Rezaei,25,Iran,70,Sporting Charleroi,€2.3M,€12K,AS'
D. Vukovic,32,Australia,70,KRC Genk,€1M,€9K,OC'
S. Strandberg,26,Norway,70,FC Krasnodar,€1.8M,€25K,EU'
R. Nouri,32,France,70,AC Ajaccio,€1.4M,€5K,EU'
R. Torres,31,Panama,70,Seattle Sounders FC,€1.2M,€6K,NA'
B. Sharp,31,England,70,Sheffield United,€1.6M,€32K,
E. Valencia,32,Colombia,70,Atletico Nacional Medellin,€1M,€4K,SA'
J. Burić,30,Bosnia Herzegovina,70,Lech Poznań,€1.1M,€6K,
G. Chanturia,24,Georgia,70,FC Ural,€2.4M,€20K,AS'
Y. Namli,23,Denmark,70,PEC Zwolle,€2.4M,€7K,EU'
D. Benlamri,27,Algeria,70,Al Shabab,€1.5M,€21K,AF'
T. Ben Haim,27,Israel,70,Sparta Praha,€1.9M,€1K,AS'
N. Bitton,25,Israel,70,Celtic,€1.8M,€30K,AS'
M. Herrera,25,Argentina,70,Club Atlético Lanús,€1.9M,€11K,SA'
Raphael Guzzo,22,Portugal,70,CF Reus Deportiu,€3M,€6K,EU'
Rubén Sobrino,25,Spain,70,Deportivo Alavés,€2.4M,€17K,EU'
S. Henderson,29,Republic of Ireland,70,Nottingham Forest,€1.2M,€16K,
Milton Menceiros,25,Brazil,70,Atlético Clube Goianiense,€1.6M,€9K,SA'
Flávio,23,Brazil,70,CD Feirense,€2.1M,€6K,SA'
A. Gunnarsson,28,Iceland,70,Cardiff City,€1.8M,€21K,EU'
R. Sawyers,25,St Kitts Nevis,70,Brentford,€2.2M,€29K,
G. Grigalava,27,Georgia,70,Arsenal Tula,€1.7M,€18K,AS'
Y. Reyna,23,Peru,70,Vancouver Whitecaps FC,€2.4M,€6K,SA'
J. Penroz,25,Chile,70,Curicó Unido,€1.9M,€4K,SA'
H. Faik,25,Netherlands,70,Excelsior,€2.3M,€8K,EU'
L. Jović,19,Serbia,70,Eintracht Frankfurt,€3.4M,€6K,EU'
A. Bonnet,30,France,70,Le Havre AC,€1.7M,€6K,EU'
T. Smith,27,New Zealand,70,Ipswich Town,€1.5M,€14K,OC'
T. Kaminski,24,Belgium,70,KV Kortrijk,€1.7M,€7K,EU'
Filipe Melo,27,Portugal,70,Grupo Desportivo de Chaves,€1.7M,€6K,EU'
Kike Sola,31,Spain,70,Athletic Club de Bilbao,€1.6M,€17K,EU'
D. Rudd,26,England,70,Preston North End,€1.6M,€8K,
Han Kyo Won,27,Korea Republic,70,Jeonbuk Hyundai Motors,€1.9M,€9K,
Arsénio,27,Portugal,70,Moreirense FC,€1.9M,€6K,EU'
Césario Figueirido,33,Brazil,70,Vitória,€725K,€10K,SA'
Bruno Viana,22,Brazil,70,SC Braga,€2.1M,€7K,SA'
Ratón,24,Spain,70,Real Zaragoza,€1.8M,€5K,EU'
C. Jorquera,28,Chile,70,Bursaspor,€1.8M,€14K,SA'
M. Piedrahita,32,Colombia,70,CPD Junior Barranquilla,€975K,€3K,SA'
T. Parker,24,United States,70,Vancouver Whitecaps FC,€2M,€5K,
M. Jarvis,31,England,70,Norwich City,€1.6M,€25K,
L. Krajnc,22,Slovenia,70,Frosinone,€2.1M,€26K,EU'
D. Peralta,32,Colombia,70,Deportivo Pasto,€1M,€2K,SA'
A. Lusamba,20,France,70,OGC Nice,€3.1M,€17K,EU'
G. Acosta,28,Argentina,70,Atlético Tucumán,€1.8M,€9K,SA'
Fernando Boldrin,28,Brazil,70,Kayserispor,€1.8M,€12K,SA'
Z. Touré,27,Senegal,70,FC Lorient,€1.7M,€6K,AF'
T. Kempe,28,Germany,70,SV Darmstadt 98,€1.8M,€18K,EU'
B. Darri,22,Netherlands,70,Heracles Almelo,€2.4M,€8K,EU'
V. Giraldo,31,Colombia,70,Independiente Santa Fe,€1.2M,€4K,SA'
K. Sema,23,Sweden,70,Östersunds FK,€2.4M,€4K,EU'
R. García Guerreño,27,Paraguay,70,Club Atlético Lanús,€1.7M,€11K,SA'
S. Colombi,26,Italy,70,Carpi,€1.6M,€3K,EU'
J. Lynch,29,Wales,70,Queens Park Rangers,€1.4M,€20K,
Cristian Herrera,26,Spain,70,CD Lugo,€2.2M,€8K,EU'
T. Souček,22,Czech Republic,70,,€0,€0.00,EU'
R. Revoredo,31,Peru,70,,€0,€0.00,SA'
S. Ganvoula,21,Congo,70,KV Mechelen,€2.7M,€14K,AF'
S. Ganvoula,21,Congo,70,KV Mechelen,€2.7M,€14K,AF'
J. Fleck,25,Scotland,70,Sheffield United,€2.2M,€28K,
R. Rojas,29,Paraguay,70,,€0,€0.00,SA'
R. Woods,23,England,70,Brentford,€2M,€23K,
D. Villalpando,25,Mexico,70,Necaxa,€2.2M,€20K,NA'
E. Oztumer,26,England,70,Walsall,€2.2M,€8K,
O. Oularé,21,Belgium,70,Royal Antwerp FC,€2.7M,€30K,EU'
M. Çelik,27,Sweden,70,BK Häcken,€1.9M,€4K,EU'
Eguaras,25,Spain,70,Real Zaragoza,€1.9M,€8K,EU'
D. Edwards,31,Wales,70,Reading,€1.5M,€24K,
H. Jurjus,23,Netherlands,70,Roda JC Kerkrade,€1.8M,€7K,EU'
J. Choplin,32,France,70,Chamois Niortais FC,€1M,€5K,EU'
J. Álvarez,36,Venezuela,70,CD Numancia,€600K,€6K,SA'
Muralha,24,Brazil,70,Pohang Steelers,€2M,€7K,SA'
Eltson Marques,25,Brazil,70,Coritiba Foot Ball Club,€1.6M,€14K,SA'
W. Sandilands,33,South Africa,70,Orlando Pirates,€900K,€1K,AF'
N. Ibáñez,22,Argentina,70,Gimnasia y Esgrima La Plata,€2.4M,€11K,SA'
J. Böðvarsson,25,Iceland,69,Reading,€1.3M,€21K,EU'
A. Olanare,23,Nigeria,69,CSKA Moscow,€1.4M,€23K,AF'
C. Guzmán,23,Mexico,69,Monarcas Morelia,€1.2M,€6K,NA'
C. Lombardi,21,Italy,69,Benevento Calcio,€1.8M,€22K,EU'
A. Dej,25,Poland,69,Sportfreunde Lotte,€1.3M,€1K,EU'
L. Koutris,21,Greece,69,Olympiakos CFP,€1.3M,€1K,EU'
M. Sordell,26,England,69,Burton Albion,€1.3M,€8K,
M. van der Maarel,27,Netherlands,69,FC Utrecht,€1M,€7K,EU'
K. Çörekçi,25,Turkey,69,Trabzonspor,€1.1M,€15K,AS'
R. Munsy,27,DR Congo,69,Grasshopper Club Zürich,€1.1M,€13K,
N. Bodurov,31,Bulgaria,69,,€0,€0.00,EU'
D. John,22,Wales,69,Rangers,€1.3M,€13K,
E. Fernandes,21,Switzerland,69,West Ham United,€1.9M,€35K,EU'
F. Poli,28,Italy,69,Carpi,€950K,€3K,EU'
B. Manuel,20,Belgium,69,KRC Genk,€1.6M,€8K,EU'
M. Crimi,27,Italy,69,Virtus Entella,€1.2M,€2K,EU'
M. Matras,26,Poland,69,Lechia Gdańsk,€1.1M,€6K,EU'
Luiz Phellype,23,Brazil,69,FC Paços de Ferreira,€1.5M,€7K,SA'
H. Grana,32,Argentina,69,FC Dallas,€575K,€5K,SA'
M. Mills,30,England,69,Nottingham Forest,€775K,€16K,
J. Valenzuela,33,Mexico,69,Club Tijuana,€425K,€12K,NA'
V. Fındıklı,26,Turkey,69,Atiker Konyaspor,€1.1M,€10K,AS'
A. Kamara,22,France,69,Fulham,€1.6M,€24K,EU'
Santi Comesaña,20,Spain,69,Rayo Vallecano,€1.5M,€6K,EU'
J. Mutch,25,England,69,Crystal Palace,€1.2M,€28K,
E. Boateng,23,Ghana,69,LA Galaxy,€1.4M,€5K,AF'
Ewandro,21,Brazil,69,Udinese,€1.7M,€14K,SA'
C. Mansillas,25,Chile,69,CD O'Higgins,€1.2M,€5K,SA'
G. Holtmann,22,Germany,69,1. FSV Mainz 05,€1.6M,€14K,EU'
Alberto Perea,26,Spain,69,Cádiz C.F.,€1.2M,€6K,EU'
M. Lukač,31,Serbia,69,Akhisar Belediyespor,€650K,€8K,EU'
A. Baroja,27,Venezuela,69,,€0,€0.00,SA'
F. Zampano,23,Italy,69,Pescara,€1.2M,€3K,EU'
A. Escuderos,29,Chile,69,CD Huachipato,€1.1M,€6K,SA'
G. Flores,31,Mexico,69,Cruz Azul,€700K,€16K,NA'
L. Manyama,26,South Africa,69,Atiker Konyaspor,€1.2M,€11K,AF'
R. Kent,20,England,69,SC Freiburg,€1.8M,€38K,
A. O'Connor,24,Republic of Ireland,69,Aberdeen,€1.1M,€5K,
D. Dessoleil,24,Belgium,69,Sporting Charleroi,€1.1M,€7K,EU'
Fran Sol,25,Spain,69,Willem II,€1.3M,€7K,EU'
C. Nørgaard,23,Denmark,69,Brøndby IF,€1.3M,€10K,EU'
P. Celeban,32,Poland,69,Śląsk Wrocław,€600K,€5K,EU'
L. Hernández,31,Mexico,69,Necaxa,€700K,€8K,NA'
Íñigo López,34,Spain,69,SD Huesca,€325K,€5K,EU'
J. Rodríguez,24,Mexico,69,Club Tijuana,€950K,€18K,NA'
J. Correa,24,Argentina,69,Vélez Sarsfield,€1.4M,€8K,SA'
A. Larenardo,29,Chile,69,Audax Italiano,€700K,€3K,SA'
Bruno Tabata,20,Brazil,69,Portimonense SC,€1.6M,€5K,SA'
C. Kum,31,Germany,69,Roda JC Kerkrade,€700K,€6K,EU'
L. Marín,25,Argentina,69,FC Lausanne-Sports,€1.1M,€7K,SA'
S. Janko,21,Switzerland,69,AS Saint-Étienne,€1.2M,€13K,EU'
C. Brannagan,21,England,69,Liverpool,€1.7M,€38K,
S. Eduok,23,Nigeria,69,Kasimpaşa SK,€1.4M,€8K,AF'
J. Buijs,28,Netherlands,69,Sydney FC,€850K,€6K,EU'
M. Olsson,29,Sweden,69,Derby County,€800K,€29K,EU'
D. Stroh-Engel,31,Germany,69,Karlsruher SC,€950K,€1K,EU'
Peter Torreiro,25,Brazil,69,Grêmio Foot-Ball Porto Alegrense,€750K,€10K,SA'
A. Zaseev,29,Russia,69,FC Ufa,€1M,€17K,
S. Hutchinson,26,England,69,Millwall,€1.1M,€19K,
P. Hofmann,24,Germany,69,SpVgg Greuther Fürth,€1.4M,€8K,EU'
Edson Farias,25,Brazil,69,CD Feirense,€1.3M,€6K,SA'
Igor Madinha,25,Brazil,69,São Paulo Futebol Clube,€1.1M,€16K,SA'
W. Buckley,27,England,69,Bolton Wanderers,€1.1M,€21K,
C. Martínez Borja,29,Colombia,69,CD America de Cali,€1.1M,€2K,SA'
M. Kelemen,37,Slovakia,69,Jagiellonia Białystok,€70K,€3K,
I. Šaponjić,19,Serbia,69,SV Zulte-Waregem,€1.6M,€5K,EU'
C. Evans,28,Wales,69,Sheffield United,€1.1M,€28K,
D. Ward,26,England,69,Cardiff City,€1.3M,€19K,
L. Gordinho,23,South Africa,69,Kaizer Chiefs,€1.2M,€1K,AF'
S. Ameobi,25,Nigeria,69,Bolton Wanderers,€1.3M,€20K,AF'
J. Price,24,England,69,Wolverhampton Wanderers,€1.1M,€22K,
V. Karavaev,22,Russia,69,Sparta Praha,€1.3M,€1K,
M. Lumb,29,Denmark,69,Lyngby BK,€800K,€7K,EU'
S. Koita,23,Niger,69,Amiens SC Football,€1.5M,€11K,AF'
Go Yo Han,29,Korea Republic,69,FC Seoul,€1M,€6K,
E. Falkenburg,29,Netherlands,69,ADO Den Haag,€1M,€8K,EU'
P. Filipović,26,Croatia,69,Atiker Konyaspor,€1.1M,€10K,EU'
Patric,24,Spain,69,Lazio,€1.2M,€19K,EU'
V. Bozhikov,29,Bulgaria,69,,€0,€0.00,EU'
S. Zdjelar,22,Serbia,69,Olympiakos CFP,€1.4M,€1K,EU'
Caio Tafarell,25,Brazil,69,Avaí Futebol Clube,€925K,€9K,SA'
O. El Hajjam,26,Morocco,69,Amiens SC Football,€1.1M,€11K,AF'
I. Höhn,25,Germany,69,SV Darmstadt 98,€1.1M,€13K,EU'
Luciano Cacheira,33,Brazil,69,Associação Chapecoense de Futebol,€525K,€8K,SA'
N. Belmonte,30,Italy,69,Perugia,€775K,€3K,EU'
M. Dreyer,28,France,69,SM Caen,€850K,€11K,EU'
A. Vellios,25,Greece,69,Nottingham Forest,€1.3M,€18K,EU'
C. Saiz,25,Colombia,69,Argentinos Juniors,€1.1M,€3K,SA'
F. Fielding,29,England,69,Bristol City,€700K,€19K,
F. Chalov,19,Russia,69,CSKA Moscow,€2M,€16K,
O. Onyewu,35,United States,69,Philadelphia Union,€250K,€4K,
R. Ripart,24,France,69,Nîmes Olympique,€1.4M,€3K,EU'
S. Papagiannopoulos,26,Sweden,69,Östersunds FK,€1.1M,€4K,EU'
T. Mrčela,26,Australia,69,Jeonnam Dragons,€1.1M,€4K,OC'
T. Barkhuizen,23,England,69,Preston North End,€1.4M,€9K,
V. Cantillo,23,Colombia,69,CPD Junior Barranquilla,€1.4M,€2K,SA'
S. Memišević,23,Bosnia Herzegovina,69,FC Groningen,€1.2M,€6K,
A. Palić,29,Croatia,69,Royal Excel Mouscron,€1M,€8K,EU'
D. Daube,27,Germany,69,1. FC Union Berlin,€1.1M,€18K,EU'
A. Jung,25,Germany,69,Brøndby IF,€1.1M,€26K,EU'
Iñaki Astiz,33,Spain,69,Legia Warszawa,€425K,€6K,EU'
J. Maddison,20,England,69,Norwich City,€1.8M,€16K,
Z. Steffen,22,United States,69,Columbus Crew SC,€1.2M,€3K,
S. Bigalke,27,Germany,69,SpVgg Unterhaching,€1.1M,€1K,EU'
M. Silvestri,26,Italy,69,Hellas Verona,€950K,€12K,EU'
G. Castellani,29,Argentina,69,Defensa y Justicia,€1M,€14K,SA'
V. Hristov,28,Bulgaria,69,FC SKA-Energiya Khabarovsk,€1.1M,€15K,EU'
Andrea Orlandi,32,Spain,69,Novara,€825K,€4K,EU'
S. Roudet,36,France,69,Valenciennes FC,€350K,€3K,EU'
S. Gonther,30,Germany,69,SG Dynamo Dresden,€775K,€9K,EU'
M. Kopczyński,25,Poland,69,Legia Warszawa,€1.1M,€6K,EU'
B. Heynen,20,Belgium,69,KRC Genk,€1.7M,€8K,EU'
Bismark,23,Brazil,69,Al Qadisiyah,€1.4M,€9K,SA'
Caro,23,Spain,69,Sevilla Atlético,€1.1M,€3K,EU'
R. Gabrielsen,25,Norway,69,Molde FK,€1.1M,€5K,EU'
M. Pérez,26,Colombia,69,Deportes Tolima,€1.1M,€1K,SA'
A. Zamorano,23,Mexico,69,Querétaro,€1.3M,€6K,NA'
O. Fink,35,Germany,69,Fortuna Düsseldorf,€450K,€12K,EU'
V. Salatić,31,Switzerland,69,FC Ufa,€700K,€15K,EU'
M. Delač,24,Croatia,69,Chelsea,€950K,€31K,EU'
Juanto,25,Spain,69,CF Os Belenenses,€1.3M,€5K,EU'
F. Andrada,23,Argentina,69,Vélez Sarsfield,€1.5M,€12K,SA'
N. Leyes,27,Argentina,69,Newell's Old Boys,€875K,€6K,SA'
S. Alibaz,27,Germany,69,Hansa Rostock,€1.1M,€1K,EU'
F. Hanin,27,France,69,CF Os Belenenses,€975K,€5K,EU'
S. Ciss,28,Senegal,69,Angers SCO,€825K,€13K,AF'
R. Khedira,23,Germany,69,FC Augsburg,€1.2M,€11K,EU'
P. Alikin,33,Russia,69,FC Ufa,€425K,€15K,
C. Hountondji,23,France,69,GFC Ajaccio,€1.2M,€4K,EU'
O. Hernández,24,Cuba,69,Eintracht Braunschweig,€1.4M,€13K,NA'
S. Sharahili,27,Saudi Arabia,69,Al Nassr,€875K,€20K,AS'
Y. Salmier,24,France,69,RC Strasbourg,€1.2M,€11K,EU'
R. Fredericks,24,England,69,Fulham,€1.2M,€19K,
K. Olsson,22,Sweden,69,AIK Solna,€1.5M,€6K,EU'
D. Iorfa,22,England,69,Ipswich Town,€1.5M,€22K,
L. Morosini,21,Italy,69,Avellino,€1.7M,€14K,EU'
Rubén Cruz,31,Spain,69,Cádiz C.F.,€925K,€6K,EU'
Sandeiro Leal,29,Brazil,69,Clube Atlético Paranaense,€1M,€10K,SA'
L. Ibáñez,28,Argentina,69,Kardemir Karabükspor,€825K,€17K,SA'
Aitor,26,Spain,69,CD Numancia,€925K,€5K,EU'
N. Gießelmann,25,Germany,69,Fortuna Düsseldorf,€1.1M,€14K,EU'
M. Targett,21,England,69,Southampton,€1.6M,€27K,
Lee Chan Dong,24,Korea Republic,69,Jeju United FC,€1.2M,€4K,
Ranteiro Alves,33,Brazil,69,Associação Atlética Ponte Preta,€650K,€10K,SA'
L. Faravelli,24,Argentina,69,Gimnasia y Esgrima La Plata,€1.4M,€8K,SA'
C. Fauño,25,Chile,69,San Luis de Quillota,€900K,€3K,SA'
D. Zuma,22,South Africa,69,Kaizer Chiefs,€1.5M,€1K,AF'
R. Krishna,29,Fiji,69,Wellington Phoenix,€1.1M,€4K,OC'
Brandon Thomas,22,Spain,69,Stade Rennais FC,€1.5M,€13K,EU'
I. Vargić,30,Croatia,69,Lazio,€675K,€18K,EU'
L. Boussaha,29,France,69,Bourg en Bresse Péronnas 01,€1.1M,€5K,EU'
R. Sanusi,25,Belgium,69,Sparta Rotterdam,€1.3M,€7K,EU'
R. Carrera,25,Argentina,69,Arsenal de Sarandí,€1.3M,€7K,SA'
P. Delecroix,28,France,69,FC Lorient,€925K,€4K,EU'
